"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
10,100,-0.1,3,0.335428571428571,0,-0.0335428571428571,-0.271,"Positive DD"
100,100,-0.1,3,0.0401314901407191,0,-0.00401314901407191,-0.393,"Positive DD"
10,10,-0.9,1,NA,0.375,NA,0.21,"Negative DD"
100,10,-0.9,1,NA,0.722222222222222,NA,1.17,"Negative DD"
10,100,-0.9,1,NA,0,NA,-0.057,"Negative DD"
100,100,-0.9,1,NA,0.448717948717949,NA,3.402,"Negative DD"
10,10,-0.5,1,0.683333333333333,0.444444444444444,-0.0238888888888889,0.24,"Negative DD"
100,10,-0.5,1,NA,0.583333333333333,NA,1.26,"Negative DD"
10,100,-0.5,1,NA,0,NA,-0.094,"Negative DD"
100,100,-0.5,1,NA,0.5,NA,4.39,"Negative DD"
10,10,-0.1,1,0.483333333333333,0,-0.0483333333333333,-0.17,"Negative DD"
100,10,-0.1,1,0.824044289044289,0.78125,-0.00427942890442891,4.12,"Negative DD"
10,100,-0.1,1,0.756583333333333,0.1,-0.0656583333333333,-0.158,"Negative DD"
100,100,-0.1,1,0.737574397824398,0.15,-0.0587574397824398,0.844,"Negative DD"
10,10,-0.9,1.2,NA,0.6,NA,0.25,"Negative DD"
100,10,-0.9,1.2,0.695714285714286,0.65,-0.00457142857142857,2.25,"Negative DD"
10,100,-0.9,1.2,NA,0,NA,-0.064,"Negative DD"
100,100,-0.9,1.2,0.90272437796122,0.41,-0.049272437796122,3.182,"Negative DD"
10,10,-0.5,1.2,NA,0.625,NA,0.41,"Negative DD"
100,10,-0.5,1.2,0.775,0.814814814814815,0.00398148148148147,1.94,"Negative DD"
10,100,-0.5,1.2,NA,0,NA,-0.091,"Negative DD"
100,100,-0.5,1.2,NA,0.397849462365591,NA,3.509,"Negative DD"
10,10,-0.1,1.2,0.7,0.166666666666667,-0.0533333333333333,-0.08,"Negative DD"
100,10,-0.1,1.2,0.664484126984127,0.506493506493506,-0.0157990620490621,2.97,"Negative DD"
10,100,-0.1,1.2,0.780809523809524,0,-0.0780809523809524,-0.335,"Negative DD"
100,100,-0.1,1.2,0.711944444444444,0.208333333333333,-0.0503611111111111,1.566,"Negative DD"
10,10,-0.9,1.4,NA,0,NA,-0.02,"Negative DD"
100,10,-0.9,1.4,0.865873015873016,0.843137254901961,-0.00227357609710551,3.73,"Negative DD"
10,100,-0.9,1.4,NA,0.1,NA,0.041,"Negative DD"
100,100,-0.9,1.4,0.952831772868477,0.44,-0.0512831772868477,2.628,"Negative DD"
10,10,-0.5,1.4,0.79,0.5,-0.029,0.27,"Negative DD"
100,10,-0.5,1.4,0.923511904761905,0.919354838709677,-0.000415706605222732,4.92,"Negative DD"
10,100,-0.5,1.4,NA,0,NA,-0.152,"Negative DD"
100,100,-0.5,1.4,NA,0.40625,NA,3.611,"Negative DD"
10,10,-0.1,1.4,0.566666666666667,0.222222222222222,-0.0344444444444444,0.08,"Negative DD"
100,10,-0.1,1.4,0.823484116527595,0.611111111111111,-0.0212373005416484,3.47,"Negative DD"
10,100,-0.1,1.4,NA,0.1,NA,-0.02,"Negative DD"
100,100,-0.1,1.4,0.606560083707143,0.09,-0.0516560083707143,0.228,"Negative DD"
10,10,-0.9,1.6,NA,0.777777777777778,NA,0.52,"Negative DD"
100,10,-0.9,1.6,0.900714285714286,0.883720930232558,-0.00169933554817275,3.38,"Negative DD"
10,100,-0.9,1.6,NA,0,NA,-0.105,"Negative DD"
100,100,-0.9,1.6,0.822362248862249,0.37,-0.0452362248862249,3.104,"Negative DD"
10,10,-0.5,1.6,0.558333333333333,0.333333333333333,-0.0225,0.16,"Negative DD"
100,10,-0.5,1.6,0.644166666666667,0.567567567567568,-0.00765990990990991,1.83,"Negative DD"
10,100,-0.5,1.6,NA,0,NA,-0.132,"Negative DD"
100,100,-0.5,1.6,0.873170634920635,0.61,-0.0263170634920635,5.689,"Negative DD"
10,10,-0.1,1.6,0.791666666666667,0.5,-0.0291666666666667,0.25,"Negative DD"
100,10,-0.1,1.6,0.738565601065601,0.623188405797101,-0.01153771952685,3.5,"Negative DD"
10,100,-0.1,1.6,0.570309523809524,0,-0.0570309523809524,-0.216,"Negative DD"
100,100,-0.1,1.6,0.710837357087357,0.151515151515152,-0.0559322205572206,0.846,"Negative DD"
10,10,-0.9,1.8,NA,0.666666666666667,NA,0.44,"Negative DD"
100,10,-0.9,1.8,0.835467741323004,0.728260869565217,-0.0107206871757787,5.02,"Negative DD"
10,100,-0.9,1.8,0.64018253968254,0,-0.064018253968254,-0.38,"Negative DD"
100,100,-0.9,1.8,0.730984068634091,0.01,-0.0720984068634091,-1.352,"Negative DD"
10,10,-0.5,1.8,0.785,0.3,-0.0485,-0.01,"Negative DD"
100,10,-0.5,1.8,0.857542036910458,0.755813953488372,-0.0101728083422086,4.91,"Negative DD"
10,100,-0.5,1.8,NA,0,NA,-0.207,"Negative DD"
100,100,-0.5,1.8,0.888668905544932,0.14,-0.0748668905544932,-0.0859999999999999,"Negative DD"
10,10,-0.1,1.8,0.551666666666667,0,-0.0551666666666667,-0.27,"Negative DD"
100,10,-0.1,1.8,0.837236128706185,0.5,-0.0337236128706185,1.31,"Negative DD"
10,100,-0.1,1.8,NA,0,NA,-0.367,"Negative DD"
100,100,-0.1,1.8,0.807260284617256,0.02,-0.0787260284617256,-2.437,"Negative DD"
10,10,-0.9,2,0.671746031746032,0.1,-0.0571746031746032,-0.3,"Constant death"
100,10,-0.9,2,0.469086400370022,0.06,-0.0409086400370022,-1.48,"Constant death"
10,100,-0.9,2,0.606198412698413,0,-0.0606198412698413,-0.401,"Constant death"
100,100,-0.9,2,0.616031792009279,0,-0.0616031792009279,-3.208,"Constant death"
10,10,-0.5,2,0.691944444444444,0,-0.0691944444444444,-0.41,"Constant death"
100,10,-0.5,2,0.524346882106911,0.04,-0.0484346882106911,-2.41,"Constant death"
10,100,-0.5,2,NA,0,NA,-0.155,"Constant death"
100,100,-0.5,2,0.541740176391701,0,-0.0541740176391701,-2.586,"Constant death"
10,10,-0.1,2,0.61297619047619,0,-0.061297619047619,-0.52,"Constant death"
100,10,-0.1,2,0.670127629306136,0.15,-0.0520127629306136,-1.81,"Constant death"
10,100,-0.1,2,0.597257936507936,0,-0.0597257936507936,-0.313,"Constant death"
100,100,-0.1,2,0.560809247560166,0,-0.0560809247560166,-2.936,"Constant death"
10,10,-0.9,2.2,0.126190476190476,0,-0.0126190476190476,-0.08,"Positive DD"
100,10,-0.9,2.2,0.0991680953066112,0,-0.00991680953066112,-0.94,"Positive DD"
10,100,-0.9,2.2,0.139162698412698,0,-0.0139162698412698,-0.102,"Positive DD"
100,100,-0.9,2.2,0.0822703671387879,0,-0.00822703671387879,-0.723,"Positive DD"
10,10,-0.5,2.2,0.356190476190476,0,-0.0356190476190476,-0.22,"Positive DD"
100,10,-0.5,2.2,0.06002337782996,0,-0.006002337782996,-0.51,"Positive DD"
10,100,-0.5,2.2,0.405134920634921,0,-0.0405134920634921,-0.295,"Positive DD"
100,100,-0.5,2.2,0.0948776728620438,0,-0.00948776728620438,-0.893,"Positive DD"
10,10,-0.1,2.2,0.361071428571429,0,-0.0361071428571429,-0.22,"Positive DD"
100,10,-0.1,2.2,0.12988208757728,0,-0.012988208757728,-0.96,"Positive DD"
10,100,-0.1,2.2,0.378357142857143,0,-0.0378357142857143,-0.328,"Positive DD"
100,100,-0.1,2.2,0.208423189648799,0,-0.0208423189648799,-1.606,"Positive DD"
10,10,-0.9,2.4,0.136944444444444,0,-0.0136944444444444,-0.12,"Positive DD"
100,10,-0.9,2.4,0.00930115697934084,0,-0.000930115697934084,-0.09,"Positive DD"
10,100,-0.9,2.4,0.119305555555556,0,-0.0119305555555556,-0.103,"Positive DD"
100,100,-0.9,2.4,0.00928374365366265,0,-0.000928374365366265,-0.092,"Positive DD"
10,10,-0.5,2.4,0.272619047619048,0,-0.0272619047619048,-0.18,"Positive DD"
100,10,-0.5,2.4,0.0154654654862488,0,-0.00154654654862488,-0.15,"Positive DD"
10,100,-0.5,2.4,0.229376984126984,0,-0.0229376984126984,-0.195,"Positive DD"
100,100,-0.5,2.4,0.0192630283789342,0,-0.00192630283789342,-0.183,"Positive DD"
10,10,-0.1,2.4,0.381150793650794,0,-0.0381150793650794,-0.22,"Positive DD"
100,10,-0.1,2.4,0.131624669471599,0,-0.0131624669471599,-1.2,"Positive DD"
10,100,-0.1,2.4,0.438900793650794,0,-0.0438900793650794,-0.218,"Positive DD"
100,100,-0.1,2.4,0.0895474613968483,0,-0.00895474613968483,-0.817,"Positive DD"
10,10,-0.9,2.6,0.0944444444444444,0,-0.00944444444444444,-0.09,"Positive DD"
100,10,-0.9,2.6,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.9,2.6,0.05975,0,-0.005975,-0.054,"Positive DD"
100,100,-0.9,2.6,7e-04,0,-7e-05,-0.007,"Positive DD"
10,10,-0.5,2.6,0.173452380952381,0,-0.0173452380952381,-0.16,"Positive DD"
100,10,-0.5,2.6,0.009,0,-9e-04,-0.09,"Positive DD"
10,100,-0.5,2.6,0.0365515873015873,0,-0.00365515873015873,-0.033,"Positive DD"
100,100,-0.5,2.6,0.0017020202020202,0,-0.00017020202020202,-0.017,"Positive DD"
10,10,-0.1,2.6,0.426150793650794,0,-0.0426150793650794,-0.28,"Positive DD"
100,10,-0.1,2.6,0.0839515995007821,0,-0.00839515995007821,-0.74,"Positive DD"
10,100,-0.1,2.6,0.271150793650794,0,-0.0271150793650794,-0.228,"Positive DD"
100,100,-0.1,2.6,0.0800615602951161,0,-0.00800615602951161,-0.757,"Positive DD"
10,10,-0.9,2.8,0.05,0,-0.005,-0.05,"Positive DD"
100,10,-0.9,2.8,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.9,2.8,0.0539444444444444,0,-0.00539444444444444,-0.053,"Positive DD"
100,100,-0.9,2.8,0,0,0,0,"Positive DD"
10,10,-0.5,2.8,0.0111111111111111,0,-0.00111111111111111,-0.01,"Positive DD"
100,10,-0.5,2.8,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.5,2.8,0.0563134920634921,0,-0.00563134920634921,-0.051,"Positive DD"
100,100,-0.5,2.8,0.0022040404040404,0,-0.00022040404040404,-0.022,"Positive DD"
10,10,-0.1,2.8,0.175277777777778,0,-0.0175277777777778,-0.14,"Positive DD"
100,10,-0.1,2.8,0.0430852876282607,0,-0.00430852876282607,-0.41,"Positive DD"
10,100,-0.1,2.8,0.341531746031746,0,-0.0341531746031746,-0.198,"Positive DD"
100,100,-0.1,2.8,0.0614909215456169,0,-0.00614909215456169,-0.522,"Positive DD"
10,10,-0.9,3,0.0411111111111111,0,-0.00411111111111111,-0.04,"Positive DD"
100,10,-0.9,3,0,0,0,0,"Positive DD"
10,100,-0.9,3,0.0389166666666667,0,-0.00389166666666667,-0.038,"Positive DD"
100,100,-0.9,3,5e-04,0,-5e-05,-0.005,"Positive DD"
10,10,-0.5,3,0.02,0,-0.002,-0.02,"Positive DD"
100,10,-0.5,3,0,0,0,0,"Positive DD"
10,100,-0.5,3,0.0431111111111111,0,-0.00431111111111111,-0.04,"Positive DD"
100,100,-0.5,3,0,0,0,0,"Positive DD"
10,10,-0.1,3,0.350555555555556,0.1,-0.0250555555555556,-0.18,"Positive DD"
100,10,-0.1,3,0.0221443557664134,0,-0.00221443557664134,-0.21,"Positive DD"
10,100,-0.1,3,0.346519841269841,0,-0.0346519841269841,-0.226,"Positive DD"
100,100,-0.1,3,0.0261900534378075,0,-0.00261900534378075,-0.259,"Positive DD"
10,10,-0.9,1,0.75,0.625,-0.0125,0.37,"Negative DD"
100,10,-0.9,1,0.890009968102073,0.772727272727273,-0.0117282695374801,5.11,"Negative DD"
10,100,-0.9,1,NA,0.1,NA,-0.00800000000000001,"Negative DD"
100,100,-0.9,1,NA,0.637362637362637,NA,5.603,"Negative DD"
10,10,-0.5,1,0.966666666666667,0.888888888888889,-0.00777777777777778,0.66,"Negative DD"
100,10,-0.5,1,0.857380952380952,0.852941176470588,-0.000443977591036415,2.57,"Negative DD"
10,100,-0.5,1,NA,0,NA,-0.208,"Negative DD"
100,100,-0.5,1,NA,0.136842105263158,NA,1.156,"Negative DD"
10,10,-0.1,1,0.516666666666667,0.333333333333333,-0.0183333333333333,0.09,"Negative DD"
100,10,-0.1,1,0.757627666451196,0.623376623376623,-0.0134251043074572,3.7,"Negative DD"
10,100,-0.1,1,0.664666666666667,0,-0.0664666666666667,-0.239,"Negative DD"
100,100,-0.1,1,0.859616786942251,0.12,-0.0739616786942251,-0.86,"Negative DD"
10,10,-0.9,1.2,0.616666666666667,0.428571428571429,-0.0188095238095238,0.21,"Negative DD"
100,10,-0.9,1.2,0.946818181818182,0.928571428571429,-0.00182467532467532,5.43,"Negative DD"
10,100,-0.9,1.2,NA,0,NA,-0.066,"Negative DD"
100,100,-0.9,1.2,0.880399350649351,0.39,-0.0490399350649351,3.255,"Negative DD"
10,10,-0.5,1.2,NA,0.7,NA,0.52,"Negative DD"
100,10,-0.5,1.2,0.931388888888889,0.904761904761905,-0.00266269841269842,3.33,"Negative DD"
10,100,-0.5,1.2,NA,0.3,NA,0.184,"Negative DD"
100,100,-0.5,1.2,0.893276334776335,0.51,-0.0383276334776335,4.527,"Negative DD"
10,10,-0.1,1.2,NA,0.3,NA,0.23,"Negative DD"
100,10,-0.1,1.2,0.92,0.833333333333333,-0.00866666666666667,1.78,"Negative DD"
10,100,-0.1,1.2,NA,0,NA,-0.175,"Negative DD"
100,100,-0.1,1.2,0.735227966477967,0.141414141414141,-0.0593813825063825,0.678,"Negative DD"
10,10,-0.9,1.4,NA,0.8,NA,0.29,"Negative DD"
100,10,-0.9,1.4,NA,0.777777777777778,NA,1.87,"Negative DD"
10,100,-0.9,1.4,NA,0.1,NA,-0.028,"Negative DD"
100,100,-0.9,1.4,NA,0.728260869565217,NA,6.486,"Negative DD"
10,10,-0.5,1.4,0.708333333333333,0.5,-0.0208333333333333,0.22,"Negative DD"
100,10,-0.5,1.4,0.743333333333333,0.695652173913043,-0.00476811594202899,2.76,"Negative DD"
10,100,-0.5,1.4,NA,0,NA,-0.172,"Negative DD"
100,100,-0.5,1.4,0.856371295371295,0.33,-0.0526371295371295,2.55,"Negative DD"
10,10,-0.1,1.4,0.785,0.3,-0.0485,0.03,"Negative DD"
100,10,-0.1,1.4,0.843246753246753,0.75,-0.00932467532467532,3.77,"Negative DD"
10,100,-0.1,1.4,NA,0,NA,-0.189,"Negative DD"
100,100,-0.1,1.4,0.73075,0.326086956521739,-0.0404663043478261,2.674,"Negative DD"
10,10,-0.9,1.6,NA,0.333333333333333,NA,0.15,"Negative DD"
100,10,-0.9,1.6,0.81,0.814814814814815,0.000481481481481472,1.92,"Negative DD"
10,100,-0.9,1.6,NA,0,NA,-0.268,"Negative DD"
100,100,-0.9,1.6,0.93107023227031,0.4,-0.053107023227031,2.943,"Negative DD"
10,10,-0.5,1.6,NA,0.428571428571429,NA,0.25,"Negative DD"
100,10,-0.5,1.6,0.822640692640693,0.75,-0.00726406926406926,3.03,"Negative DD"
10,100,-0.5,1.6,NA,0,NA,-0.028,"Negative DD"
100,100,-0.5,1.6,NA,0.333333333333333,NA,2.769,"Negative DD"
10,10,-0.1,1.6,0.503888888888889,0,-0.0503888888888889,-0.37,"Negative DD"
100,10,-0.1,1.6,0.657673486644075,0.519480519480519,-0.0138192967163555,3.05,"Negative DD"
10,100,-0.1,1.6,NA,0,NA,-0.137,"Negative DD"
100,100,-0.1,1.6,0.864167805917708,0.05,-0.0814167805917708,-2.943,"Negative DD"
10,10,-0.9,1.8,0.668333333333333,0.4,-0.0268333333333333,0.15,"Negative DD"
100,10,-0.9,1.8,0.665800865800866,0.466666666666667,-0.0199134199134199,2.65,"Negative DD"
10,100,-0.9,1.8,NA,0,NA,-0.146,"Negative DD"
100,100,-0.9,1.8,0.877063712499592,0.13,-0.0747063712499592,-0.451,"Negative DD"
10,10,-0.5,1.8,0.654047619047619,0.1,-0.0554047619047619,-0.14,"Negative DD"
100,10,-0.5,1.8,0.787981940391808,0.46,-0.0327981940391808,1.95,"Negative DD"
10,100,-0.5,1.8,NA,0,NA,-0.254,"Negative DD"
100,100,-0.5,1.8,0.711535093719789,0.01,-0.0701535093719789,-1.034,"Negative DD"
10,10,-0.1,1.8,NA,0.1,NA,0.01,"Negative DD"
100,10,-0.1,1.8,0.767308656256025,0.609756097560976,-0.0157552558695049,3.68,"Negative DD"
10,100,-0.1,1.8,NA,0,NA,-0.233,"Negative DD"
100,100,-0.1,1.8,0.617785036657794,0.01,-0.0607785036657794,-1.444,"Negative DD"
10,10,-0.9,2,0.613333333333333,0.3,-0.0313333333333333,-0.01,"Constant death"
100,10,-0.9,2,0.591457996419047,0.15,-0.0441457996419047,-1.09,"Constant death"
10,100,-0.9,2,0.533222222222222,0,-0.0533222222222222,-0.345,"Constant death"
100,100,-0.9,2,0.526151003943773,0,-0.0526151003943773,-3.211,"Constant death"
10,10,-0.5,2,0.41452380952381,0,-0.0414523809523809,-0.17,"Constant death"
100,10,-0.5,2,0.750105777719047,0.29,-0.0460105777719047,-0.97,"Constant death"
10,100,-0.5,2,NA,0,NA,-0.255,"Constant death"
100,100,-0.5,2,0.565987422603684,0,-0.0565987422603684,-2.68,"Constant death"
10,10,-0.1,2,0.29047619047619,0,-0.029047619047619,-0.18,"Constant death"
100,10,-0.1,2,0.45924261678643,0.02,-0.043924261678643,-2.42,"Constant death"
10,100,-0.1,2,0.544876984126984,0,-0.0544876984126984,-0.327,"Constant death"
100,100,-0.1,2,0.477569240321673,0,-0.0477569240321673,-3.448,"Constant death"
10,10,-0.9,2.2,0.19702380952381,0,-0.019702380952381,-0.16,"Positive DD"
100,10,-0.9,2.2,0.0746193517042435,0,-0.00746193517042435,-0.65,"Positive DD"
10,100,-0.9,2.2,0.154134920634921,0,-0.0154134920634921,-0.107,"Positive DD"
100,100,-0.9,2.2,0.0547258804657913,0,-0.00547258804657913,-0.486,"Positive DD"
10,10,-0.5,2.2,0.289880952380952,0,-0.0289880952380952,-0.22,"Positive DD"
100,10,-0.5,2.2,0.116337223517832,0,-0.0116337223517832,-0.98,"Positive DD"
10,100,-0.5,2.2,0.264626984126984,0,-0.0264626984126984,-0.169,"Positive DD"
100,100,-0.5,2.2,0.142057264571577,0,-0.0142057264571577,-1.317,"Positive DD"
10,10,-0.1,2.2,0.606666666666667,0.1,-0.0506666666666667,-0.2,"Positive DD"
100,10,-0.1,2.2,0.186571698413804,0,-0.0186571698413804,-1.4,"Positive DD"
10,100,-0.1,2.2,0.508853174603175,0,-0.0508853174603175,-0.286,"Positive DD"
100,100,-0.1,2.2,0.246605833009726,0,-0.0246605833009726,-2.009,"Positive DD"
10,10,-0.9,2.4,0.108888888888889,0,-0.0108888888888889,-0.1,"Positive DD"
100,10,-0.9,2.4,0.0102064265099979,0,-0.00102064265099979,-0.1,"Positive DD"
10,100,-0.9,2.4,0.0881984126984127,0,-0.00881984126984127,-0.082,"Positive DD"
100,100,-0.9,2.4,0.00632539682539683,0,-0.000632539682539683,-0.063,"Positive DD"
10,10,-0.5,2.4,0.172222222222222,0,-0.0172222222222222,-0.1,"Positive DD"
100,10,-0.5,2.4,0.0152670267403234,0,-0.00152670267403234,-0.15,"Positive DD"
10,100,-0.5,2.4,0.212055555555556,0,-0.0212055555555556,-0.162,"Positive DD"
100,100,-0.5,2.4,0.0166898705389685,0,-0.00166898705389685,-0.165,"Positive DD"
10,10,-0.1,2.4,0.536507936507936,0,-0.0536507936507937,-0.37,"Positive DD"
100,10,-0.1,2.4,0.109973457221966,0,-0.0109973457221966,-1.06,"Positive DD"
10,100,-0.1,2.4,0.246150793650794,0,-0.0246150793650794,-0.178,"Positive DD"
100,100,-0.1,2.4,0.0981748957871278,0,-0.00981748957871278,-0.787,"Positive DD"
10,10,-0.9,2.6,0.05,0,-0.005,-0.05,"Positive DD"
100,10,-0.9,2.6,0.004,0,-4e-04,-0.04,"Positive DD"
10,100,-0.9,2.6,0.0591071428571429,0,-0.00591071428571429,-0.053,"Positive DD"
100,100,-0.9,2.6,0.0018,0,-0.00018,-0.018,"Positive DD"
10,10,-0.5,2.6,0.0444444444444444,0,-0.00444444444444444,-0.04,"Positive DD"
100,10,-0.5,2.6,0.00402020202020202,0,-0.000402020202020202,-0.04,"Positive DD"
10,100,-0.5,2.6,0.154007936507937,0,-0.0154007936507937,-0.133,"Positive DD"
100,100,-0.5,2.6,0.00592327355184498,0,-0.000592327355184498,-0.059,"Positive DD"
10,10,-0.1,2.6,0.365,0.1,-0.0265,-0.05,"Positive DD"
100,10,-0.1,2.6,0.0974838324060925,0,-0.00974838324060925,-0.72,"Positive DD"
10,100,-0.1,2.6,0.362492063492063,0,-0.0362492063492064,-0.223,"Positive DD"
100,100,-0.1,2.6,0.0690597148524802,0,-0.00690597148524801,-0.672,"Positive DD"
10,10,-0.9,2.8,0.105,0,-0.0105,-0.1,"Positive DD"
100,10,-0.9,2.8,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.9,2.8,0.0245555555555556,0,-0.00245555555555556,-0.024,"Positive DD"
100,100,-0.9,2.8,4e-04,0,-4e-05,-0.004,"Positive DD"
10,10,-0.5,2.8,0.01,0,-0.001,-0.01,"Positive DD"
100,10,-0.5,2.8,0.001,0,-1e-04,-0.01,"Positive DD"
10,100,-0.5,2.8,0.054515873015873,0,-0.0054515873015873,-0.041,"Positive DD"
100,100,-0.5,2.8,9e-04,0,-9e-05,-0.009,"Positive DD"
10,10,-0.1,2.8,0.150753968253968,0,-0.0150753968253968,-0.13,"Positive DD"
100,10,-0.1,2.8,0.0265149597362552,0,-0.00265149597362552,-0.25,"Positive DD"
10,100,-0.1,2.8,0.450349206349206,0,-0.0450349206349206,-0.212,"Positive DD"
100,100,-0.1,2.8,0.0660209919883798,0,-0.00660209919883798,-0.645,"Positive DD"
10,10,-0.9,3,0.0322222222222222,0,-0.00322222222222222,-0.03,"Positive DD"
100,10,-0.9,3,0,0,0,0,"Positive DD"
10,100,-0.9,3,0.0183333333333333,0,-0.00183333333333333,-0.018,"Positive DD"
100,100,-0.9,3,4e-04,0,-4e-05,-0.004,"Positive DD"
10,10,-0.5,3,0.0655555555555555,0,-0.00655555555555555,-0.06,"Positive DD"
100,10,-0.5,3,0,0,0,0,"Positive DD"
10,100,-0.5,3,0.0389801587301587,0,-0.00389801587301587,-0.035,"Positive DD"
100,100,-0.5,3,0,0,0,0,"Positive DD"
10,10,-0.1,3,0.273492063492064,0,-0.0273492063492064,-0.22,"Positive DD"
100,10,-0.1,3,0.026825204123006,0,-0.0026825204123006,-0.26,"Positive DD"
10,100,-0.1,3,0.290734126984127,0,-0.0290734126984127,-0.195,"Positive DD"
